source,epoch,step,loss,lr,reward
reports\logs\dpo_query_compiler_104m_2273682.log,1,25,0.6884,0.00000200,
reports\logs\dpo_query_compiler_104m_2273682.log,1,50,0.6872,0.00000200,
reports\logs\dpo_query_compiler_104m_2273682.log,1,75,0.6609,0.00000200,
reports\logs\dpo_query_compiler_104m_2273682.log,1,100,0.6416,0.00000199,
reports\logs\dpo_query_compiler_104m_2273682.log,1,125,0.5847,0.00000199,
reports\logs\dpo_query_compiler_104m_2273682.log,1,150,0.5890,0.00000198,
reports\logs\dpo_query_compiler_104m_2273682.log,1,175,0.5831,0.00000198,
reports\logs\dpo_query_compiler_104m_2273682.log,1,200,0.3686,0.00000197,
reports\logs\dpo_query_compiler_104m_2273682.log,1,225,0.2871,0.00000196,
reports\logs\dpo_query_compiler_104m_2273682.log,1,250,0.5029,0.00000195,
reports\logs\dpo_query_compiler_104m_2273682.log,1,275,0.2217,0.00000194,
reports\logs\dpo_query_compiler_104m_2273682.log,1,300,0.4018,0.00000193,
reports\logs\dpo_query_compiler_104m_2273682.log,1,325,0.3996,0.00000192,
reports\logs\dpo_query_compiler_104m_2273682.log,1,350,0.4827,0.00000191,
reports\logs\dpo_query_compiler_104m_2273682.log,1,375,0.1924,0.00000189,
reports\logs\dpo_query_compiler_104m_2273682.log,1,400,0.1838,0.00000188,
reports\logs\dpo_query_compiler_104m_2273682.log,1,425,0.3245,0.00000186,
reports\logs\dpo_query_compiler_104m_2273682.log,1,450,0.2220,0.00000185,
reports\logs\dpo_query_compiler_104m_2273682.log,1,475,0.5244,0.00000183,
reports\logs\dpo_query_compiler_104m_2273682.log,1,500,0.2442,0.00000181,
reports\logs\dpo_query_compiler_104m_2273682.log,1,525,0.0307,0.00000180,
reports\logs\dpo_query_compiler_104m_2273682.log,1,550,0.1395,0.00000178,
reports\logs\dpo_query_compiler_104m_2273682.log,1,575,0.4393,0.00000176,
reports\logs\dpo_query_compiler_104m_2273682.log,1,600,0.6396,0.00000174,
reports\logs\dpo_query_compiler_104m_2273682.log,1,625,0.4632,0.00000172,
reports\logs\dpo_query_compiler_104m_2273682.log,1,650,0.2281,0.00000169,
reports\logs\dpo_query_compiler_104m_2273682.log,1,675,0.2369,0.00000167,
reports\logs\dpo_query_compiler_104m_2273682.log,1,700,0.4060,0.00000165,
reports\logs\dpo_query_compiler_104m_2273682.log,1,725,0.1789,0.00000162,
reports\logs\dpo_query_compiler_104m_2273682.log,1,750,0.3282,0.00000160,
reports\logs\dpo_query_compiler_104m_2273682.log,1,775,0.0538,0.00000158,
reports\logs\dpo_query_compiler_104m_2273682.log,1,800,0.4054,0.00000155,
reports\logs\dpo_query_compiler_104m_2273682.log,1,825,0.2209,0.00000152,
reports\logs\dpo_query_compiler_104m_2273682.log,1,850,0.0864,0.00000150,
reports\logs\dpo_query_compiler_104m_2273682.log,1,875,0.2736,0.00000147,
reports\logs\dpo_query_compiler_104m_2273682.log,1,900,0.0576,0.00000144,
reports\logs\dpo_query_compiler_104m_2273682.log,1,925,0.0176,0.00000142,
reports\logs\dpo_query_compiler_104m_2273682.log,1,950,0.4231,0.00000139,
reports\logs\dpo_query_compiler_104m_2273682.log,1,975,0.1040,0.00000136,
reports\logs\dpo_query_compiler_104m_2273682.log,1,1000,0.1234,0.00000133,
reports\logs\dpo_query_compiler_104m_2273682.log,1,1025,0.0392,0.00000130,
reports\logs\dpo_query_compiler_104m_2273682.log,1,1050,0.3059,0.00000128,
reports\logs\dpo_query_compiler_104m_2273682.log,1,1075,0.0703,0.00000125,
reports\logs\dpo_query_compiler_104m_2273682.log,1,1100,0.3468,0.00000122,
reports\logs\dpo_query_compiler_104m_2273682.log,1,1125,0.5512,0.00000119,
reports\logs\dpo_query_compiler_104m_2273682.log,1,1150,0.0122,0.00000116,
reports\logs\dpo_query_compiler_104m_2273682.log,1,1175,0.0989,0.00000113,
reports\logs\dpo_query_compiler_104m_2273682.log,1,1199,0.0856,0.00000110,
reports\logs\dpo_query_compiler_104m_2273682.log,1,1200,0.5455,0.00000110,
reports\logs\dpo_query_compiler_104m_2273682.log,2,25,0.0101,0.00000107,
reports\logs\dpo_query_compiler_104m_2273682.log,2,50,0.0353,0.00000104,
reports\logs\dpo_query_compiler_104m_2273682.log,2,75,0.2744,0.00000101,
reports\logs\dpo_query_compiler_104m_2273682.log,2,100,0.2975,0.00000098,
reports\logs\dpo_query_compiler_104m_2273682.log,2,125,0.0143,0.00000095,
reports\logs\dpo_query_compiler_104m_2273682.log,2,150,0.0598,0.00000092,
reports\logs\dpo_query_compiler_104m_2273682.log,2,175,0.0313,0.00000090,
reports\logs\dpo_query_compiler_104m_2273682.log,2,200,0.1044,0.00000087,
reports\logs\dpo_query_compiler_104m_2273682.log,2,225,0.0313,0.00000084,
reports\logs\dpo_query_compiler_104m_2273682.log,2,250,0.0043,0.00000081,
reports\logs\dpo_query_compiler_104m_2273682.log,2,275,0.2388,0.00000078,
reports\logs\dpo_query_compiler_104m_2273682.log,2,300,0.3700,0.00000076,
reports\logs\dpo_query_compiler_104m_2273682.log,2,325,0.2435,0.00000073,
reports\logs\dpo_query_compiler_104m_2273682.log,2,350,0.2940,0.00000070,
reports\logs\dpo_query_compiler_104m_2273682.log,2,375,0.1005,0.00000068,
reports\logs\dpo_query_compiler_104m_2273682.log,2,400,0.0803,0.00000065,
reports\logs\dpo_query_compiler_104m_2273682.log,2,425,0.0750,0.00000062,
reports\logs\dpo_query_compiler_104m_2273682.log,2,450,0.1505,0.00000060,
reports\logs\dpo_query_compiler_104m_2273682.log,2,475,0.0077,0.00000058,
reports\logs\dpo_query_compiler_104m_2273682.log,2,500,0.0336,0.00000055,
reports\logs\dpo_query_compiler_104m_2273682.log,2,525,0.0160,0.00000053,
reports\logs\dpo_query_compiler_104m_2273682.log,2,550,0.0265,0.00000051,
reports\logs\dpo_query_compiler_104m_2273682.log,2,575,0.5023,0.00000048,
reports\logs\dpo_query_compiler_104m_2273682.log,2,600,0.2240,0.00000046,
reports\logs\dpo_query_compiler_104m_2273682.log,2,625,0.2251,0.00000044,
reports\logs\dpo_query_compiler_104m_2273682.log,2,650,0.0771,0.00000042,
reports\logs\dpo_query_compiler_104m_2273682.log,2,675,0.0778,0.00000040,
reports\logs\dpo_query_compiler_104m_2273682.log,2,700,0.0420,0.00000039,
reports\logs\dpo_query_compiler_104m_2273682.log,2,725,0.0033,0.00000037,
reports\logs\dpo_query_compiler_104m_2273682.log,2,750,0.0780,0.00000035,
reports\logs\dpo_query_compiler_104m_2273682.log,2,775,0.2205,0.00000034,
reports\logs\dpo_query_compiler_104m_2273682.log,2,800,0.0757,0.00000032,
reports\logs\dpo_query_compiler_104m_2273682.log,2,825,0.3502,0.00000031,
reports\logs\dpo_query_compiler_104m_2273682.log,2,850,0.2228,0.00000029,
reports\logs\dpo_query_compiler_104m_2273682.log,2,875,0.3530,0.00000028,
reports\logs\dpo_query_compiler_104m_2273682.log,2,900,0.5626,0.00000027,
reports\logs\dpo_query_compiler_104m_2273682.log,2,925,0.0744,0.00000026,
