source,epoch,step,loss,lr,reward
reports\logs\dpo_query_compiler_104m_2273689.log,1,20,0.6800,0.00000299,
reports\logs\dpo_query_compiler_104m_2273689.log,1,40,0.6817,0.00000295,
reports\logs\dpo_query_compiler_104m_2273689.log,1,60,0.6271,0.00000288,
reports\logs\dpo_query_compiler_104m_2273689.log,1,80,0.5608,0.00000279,
reports\logs\dpo_query_compiler_104m_2273689.log,1,100,0.6207,0.00000268,
reports\logs\dpo_query_compiler_104m_2273689.log,1,120,0.3944,0.00000255,
reports\logs\dpo_query_compiler_104m_2273689.log,1,140,0.5223,0.00000240,
reports\logs\dpo_query_compiler_104m_2273689.log,1,160,0.5628,0.00000224,
reports\logs\dpo_query_compiler_104m_2273689.log,1,180,0.5661,0.00000207,
reports\logs\dpo_query_compiler_104m_2273689.log,1,200,0.5168,0.00000188,
reports\logs\dpo_query_compiler_104m_2273689.log,1,220,0.5565,0.00000170,
reports\logs\dpo_query_compiler_104m_2273689.log,1,240,0.6109,0.00000151,
reports\logs\dpo_query_compiler_104m_2273689.log,1,260,0.5550,0.00000132,
reports\logs\dpo_query_compiler_104m_2273689.log,1,280,0.4704,0.00000114,
reports\logs\dpo_query_compiler_104m_2273689.log,1,300,0.1692,0.00000098,
reports\logs\dpo_query_compiler_104m_2273689.log,1,320,0.4975,0.00000082,
reports\logs\dpo_query_compiler_104m_2273689.log,1,340,0.4804,0.00000068,
reports\logs\dpo_query_compiler_104m_2273689.log,1,360,0.2935,0.00000056,
reports\logs\dpo_query_compiler_104m_2273689.log,1,380,0.1739,0.00000046,
reports\logs\dpo_query_compiler_104m_2273689.log,1,400,0.4518,0.00000038,
reports\logs\dpo_query_compiler_104m_2273689.log,1,420,0.3527,0.00000033,
reports\logs\dpo_query_compiler_104m_2273689.log,1,440,0.1809,0.00000030,
reports\logs\dpo_query_compiler_104m_2273689.log,1,449,0.1595,0.00000030,
